"filename","cell_no","genotype","stage","foci_count","sd_foci","mean_foci","median_foci","mean_px","median_px","percent_on","sd_px","lone_foci"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_019-crop-161-SYCP3.jpeg","64","Fancm-/-","pachytene","34","10.3784530500594","10.7692307692308","8","0.0317063289042931","0.0235294117647059","0.464285714285714","0.0373766989448201","44"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_021-crop-163-SYCP3.jpeg","65","Fancm-/-","pachytene","27","5.56472581189066","8.68181818181818","9","0.0381003924308907","0.0313725490196078","0.56020942408377","0.0337001989753675","17"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_021-crop-164-SYCP3.jpeg","66","Fancm-/-","pachytene","36","16.3315885422614","12.8627450980392","8","0.0284940224096507","0.0196078431372549","0.352134146341463","0.0322626504212969","15"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_022-crop-167-SYCP3.jpeg","67","Fancm-/-","pachytene","30","5.14447150293734","10.5384615384615","11","0.0456572275316413","0.0392156862745098","0.673965936739659","0.0406527669176889","9"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_023-crop-170-SYCP3.jpeg","68","Fancm-/-","pachytene","30","8.31612257827181","11.3684210526316","11","0.0349110628390005","0.0274509803921569","0.597222222222222","0.0340065841156658","8"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_027-crop-174-SYCP3.jpeg","69","Fancm-/-","pachytene","27","6.79724680312287","8.95","8","0.0536444606084553","0.0470588235294118","0.53072625698324","0.0371057270152077","13"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_027-crop-175-SYCP3.jpeg","70","Fancm-/-","pachytene","36","8.00110734307403","11.5116279069767","12","0.0459004297862136","0.0352941176470588","0.719191919191919","0.0482823018267127","7"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_028-crop-178-SYCP3.jpeg","71","Fancm-/-","pachytene","36","7.31041806612914","8.953125","7","0.0430726272708337","0.0352941176470588","0.574171029668412","0.0434243488703071","28"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_029-crop-179-SYCP3.jpeg","72","Fancm-/-","pachytene","32","8.59107347107978","14.3684210526316","15","0.0358824746534244","0.0274509803921569","0.683150183150183","0.047896592420537","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_030-crop-181-SYCP3.jpeg","73","Fancm-/-","pachytene","31","5.80678184480302","9.25581395348837","8","0.0331742050327696","0.0274509803921569","0.590452261306533","0.0293493837325975","12"
